song_id,artist,title,dominant_emotion,dominant_sentiment,emotion_distribution,sentiment_distribution
7338021,avocados n vespas,Blue,sadness,positive,"{'anger': 0.10487440877238988, 'disgust': 0.10487440877238988, 'fear': 0.10546651268986448, 'sadness': 0.2771826302641385, 'surprise': 0.10074246126617303, 'anticipation': 0.09928168816923919, 'joy': 0.1037889450329026, 'trust': 0.1037889450329026}","{'negative': 0.4959600423075132, 'positive': 0.5040399576924869}"
1685751,The Rocky Fortune,Priceless Vices,fear,negative,"{'surprise': 0.13066843566050057, 'disgust': 0.21070416317772137, 'anticipation': 0.09289962820465947, 'trust': 0.17862340216453837, 'fear': 0.22032102300079243, 'joy': 0.16678334779178774}","{'negative': 0.6285498203139399, 'positive': 0.37145017968606014}"
5397083,BPB Milano,BlueStrips Feat. Trapstardice,anger,negative,"{'sadness': 0.18620811684318753, 'anger': 0.289398919473523, 'disgust': 0.2201123472368353, 'fear': 0.21534023815804645, 'trust': 0.0548417896867268, 'surprise': 0.01237854199338772, 'anticipation': 0.007712032555997088, 'joy': 0.014008014052296356}","{'negative': 0.8169087510726925, 'positive': 0.18309124892730755}"
1133327,The Swirling Eddies,Hell Oh,anticipation,positive,"{'anger': 0.04992685593031978, 'disgust': 0.035810421774815714, 'fear': 0.06604918244054951, 'sadness': 0.05193274828504546, 'anticipation': 0.306827866616557, 'joy': 0.1678564530360722, 'surprise': 0.15374001888056812, 'trust': 0.1678564530360722}","{'negative': 0.22127082051656316, 'positive': 0.7787291794834369}"
6232621,kmoe,​all the time,anticipation,positive,"{'anticipation': 0.7366275030490915, 'joy': 0.040458876548342154, 'anger': 0.042104164877647746, 'surprise': 0.032332504179963015, 'trust': 0.03847136704235943, 'disgust': 0.03871481572166412, 'fear': 0.032575952859267704, 'sadness': 0.03871481572166412}","{'positive': 0.569264517213187, 'negative': 0.430735482786813}"
138015,Spike Milligan,The Soldiers At Lauro,disgust,negative,"{'anger': 0.18675617775573053, 'disgust': 0.2567598181684106, 'sadness': 0.2567598181684106, 'anticipation': 0.07657351516492268, 'joy': 0.07657351516492268, 'trust': 0.07657351516492268, 'fear': 0.07000364041268008}","{'negative': 0.8493144460275951, 'positive': 0.1506855539724049}"
2006842,GoldFish,We come together ft. sakhile moleshe fishy beat radio edit,anticipation,negative,"{'sadness': 0.05839706280392845, 'anger': 0.15969661005252775, 'fear': 0.15627631282719884, 'disgust': 0.0481066324380789, 'anticipation': 0.37249438716499284, 'surprise': 0.06296776731702804, 'joy': 0.06837750847909743, 'trust': 0.07368371891714784}","{'negative': 0.5091249376394603, 'positive': 0.49087506236053974}"
5685976,Planetshakers,Caught Up In Your Presence,sadness,positive,"{'anticipation': 0.1530047121146116, 'fear': 0.19788674424350153, 'joy': 0.15562367529014862, 'trust': 0.1530047121146116, 'anger': 0.004255193500489394, 'disgust': 0.004255193500489394, 'sadness': 0.32063782345141134, 'surprise': 0.0113319457847367}","{'positive': 0.7924201772339071, 'negative': 0.20757982276609285}"
3074820,Kirt Lind,Hollow,sadness,negative,"{'sadness': 0.7312997508248957, 'joy': 0.12432409464294239, 'trust': 0.12432409464294239, 'fear': 0.020052059889219622}","{'negative': 0.809888432113463, 'positive': 0.19011156788653708}"
2430826,Young Biscotti,Hail Mary,anticipation,positive,"{'anticipation': 0.21078910125376846, 'joy': 0.19337312447820526, 'sadness': 0.016751077676177947, 'trust': 0.20630316311410973, 'fear': 0.18870873427400156, 'surprise': 0.16925395594706744, 'anger': 0.007300286109451115, 'disgust': 0.00752055714721843}","{'positive': 0.8477235466170093, 'negative': 0.15227645338299062}"
3135381,YTCracker,Hacker Wars V2.0,trust,positive,"{'joy': 0.10842724835696822, 'trust': 0.336118089719445, 'anger': 0.13623634548334118, 'anticipation': 0.11285952775013733, 'disgust': 0.09105752880537403, 'sadness': 0.09504653863076415, 'fear': 0.10393026298745185, 'surprise': 0.016324458266518318}","{'positive': 0.5679147549898718, 'negative': 0.43208524501012824}"
6571975,Madonna,Love Dont Live Here Anymore Marks Its a Boy Dub,joy,positive,{'joy': 1.0},{'positive': 1.0}
2044935,Hard creation,I Will Have that Power,fear,negative,"{'fear': 0.4897414732061454, 'sadness': 0.4897414732061454, 'anger': 0.010258526793854533, 'disgust': 0.010258526793854533}","{'negative': 0.9837729124854804, 'positive': 0.01622708751451966}"
657726,Mark Knopfler,Sailing to Philadelphia,trust,positive,"{'trust': 0.3465342416681997, 'anger': 0.0358800124373119, 'disgust': 0.0358800124373119, 'fear': 0.0866129979805353, 'sadness': 0.09465103930863658, 'anticipation': 0.2068351562131452, 'joy': 0.12679043435816206, 'surprise': 0.06681610559669746}","{'positive': 0.6822891723299157, 'negative': 0.31771082767008435}"
1959331,Kay Starr,Everybodys Waitin for The Man with the Bag,fear,positive,"{'anticipation': 0.13529330494602856, 'anger': 0.1748116382709749, 'disgust': 0.1748116382709749, 'fear': 0.18466064506480237, 'sadness': 0.1748116382709749, 'joy': 0.09011765898610957, 'surprise': 0.03274673809506735, 'trust': 0.03274673809506735}","{'positive': 0.653515557195679, 'negative': 0.34648444280432095}"
2846693,The Hobby,Losing a Friend,fear,negative,"{'sadness': 0.15950692770898892, 'fear': 0.2772166359409621, 'anger': 0.277121734400186, 'anticipation': 0.008898286770727215, 'disgust': 0.07832063197350667, 'surprise': 0.05315149830923772, 'joy': 0.06777746841462347, 'trust': 0.07800681648176795}","{'negative': 0.8301332887112781, 'positive': 0.16986671128872183}"
228826,George Jones,Hello Darlin,joy,positive,"{'anticipation': 0.25966691658118113, 'joy': 0.2651279149282147, 'sadness': 0.08142096380026279, 'surprise': 0.1322492273209229, 'trust': 0.15161305742074485, 'fear': 0.04685336630403317, 'anger': 0.031534276822320226, 'disgust': 0.031534276822320226}","{'positive': 0.8067079105062149, 'negative': 0.19329208949378512}"
1983380,Big B & The Felons Club,A Million Miles,disgust,negative,"{'anticipation': 0.04741876184145614, 'disgust': 0.2610642311081868, 'joy': 0.031714940877992315, 'surprise': 0.02190690255223971, 'trust': 0.028184145410754938, 'fear': 0.17934998551293616, 'anger': 0.25376797421493963, 'sadness': 0.1765930584814944}","{'positive': 0.16593694083261154, 'negative': 0.8340630591673884}"
5935085,Dead boy ali,Alone II,trust,negative,"{'trust': 0.22484897465457812, 'anticipation': 0.15354624792907137, 'anger': 0.08651136318686888, 'sadness': 0.16655433915480913, 'fear': 0.2209224700822429, 'surprise': 0.01740596589281352, 'disgust': 0.1302106390996162}","{'negative': 0.6973283122311504, 'positive': 0.3026716877688495}"
5270279,Yung ballxr,Hate us,sadness,negative,"{'anger': 0.1606019668001378, 'disgust': 0.13781884669420308, 'fear': 0.13303234874850028, 'sadness': 0.1733455520497258, 'anticipation': 0.09976726952337159, 'joy': 0.0988011556492584, 'trust': 0.1162705325724976, 'surprise': 0.08036232796230525}","{'positive': 0.4023988073304125, 'negative': 0.5976011926695874}"
5075753,Misunderstood (Duo),Ride,fear,positive,"{'anger': 0.005939732907078374, 'disgust': 0.005939732907078374, 'fear': 0.3093594413803059, 'sadness': 0.2676847197085723, 'joy': 0.2907857940139433, 'anticipation': 0.029540146982853562, 'trust': 0.049075710428434706, 'surprise': 0.041674721671733514}","{'negative': 0.43052547190668033, 'positive': 0.5694745280933198}"
6106324,ITSGURRR,Feeling You,anticipation,positive,"{'joy': 0.1256850709173699, 'trust': 0.12334431479527073, 'anticipation': 0.15036350369275944, 'anger': 0.12062358569151303, 'disgust': 0.11936817676003049, 'fear': 0.12062358569151303, 'sadness': 0.12062358569151303, 'surprise': 0.11936817676003049}","{'positive': 0.5436151537215795, 'negative': 0.4563848462784206}"
7335837,Belmont,Pushing Daisies Remix,sadness,negative,"{'fear': 0.1460331157208553, 'joy': 0.09066640269714678, 'trust': 0.015261582743645323, 'anticipation': 0.18226497596112576, 'sadness': 0.2138080896755758, 'disgust': 0.12356861634689893, 'anger': 0.1460800500747035, 'surprise': 0.08231716678004862}","{'positive': 0.2546530345071694, 'negative': 0.7453469654928305}"
2170082,Compton Av,Run Me My Money Remix,anger,positive,"{'anger': 0.2096444711560643, 'anticipation': 0.15548242982506139, 'joy': 0.15380987912165114, 'surprise': 0.1535872283222651, 'trust': 0.15646290447895025, 'disgust': 0.05760145403743283, 'fear': 0.05653101437826868, 'sadness': 0.056880618680306215}","{'positive': 0.7091160800718663, 'negative': 0.2908839199281336}"
2459567,ELEL,Animal,joy,positive,"{'anticipation': 0.2511575753214964, 'joy': 0.2900265644804152, 'trust': 0.23054447807971218, 'sadness': 0.20244740098935748, 'fear': 0.01139015912040782, 'surprise': 0.014433822008610995}","{'positive': 0.820158245203926, 'negative': 0.17984175479607403}"
5634839,Marilyn Manson & The Spooky Kids,Cake and Sodomy Live as Hell,anticipation,positive,"{'anticipation': 0.33072556525685987, 'fear': 0.11744902094289697, 'joy': 0.12983478104399154, 'trust': 0.13706573775019296, 'surprise': 0.009138280660789306, 'anger': 0.017401971681883323, 'disgust': 0.13100394637665613, 'sadness': 0.12738069628672996}","{'positive': 0.5561666699047388, 'negative': 0.44383333009526105}"
977503,Old 97's,Niteclub,joy,positive,"{'joy': 0.2736651151233537, 'anger': 0.12214145646631089, 'disgust': 0.027609446829696814, 'sadness': 0.05178380764505481, 'anticipation': 0.1535270609669265, 'fear': 0.10695627519172317, 'trust': 0.13817086170846338, 'surprise': 0.12614597606847064}","{'positive': 0.8408849929366504, 'negative': 0.1591150070633495}"
1356962,Rose Laurens,Africa,fear,negative,"{'sadness': 0.2583568058656182, 'fear': 0.3133737486358722, 'surprise': 0.1975777226181348, 'anger': 0.04107126898679829, 'anticipation': 0.05814619127280437, 'joy': 0.05814619127280437, 'trust': 0.06674933186223438, 'disgust': 0.006578739485733203}","{'negative': 0.7319490960017153, 'positive': 0.2680509039982846}"
691903,Wolfman D,The Albatross,anger,negative,"{'anger': 0.25199743816678877, 'disgust': 0.16253753824423295, 'fear': 0.20534502180812797, 'sadness': 0.18722625632999726, 'surprise': 0.0451590962414037, 'anticipation': 0.03580346032770293, 'trust': 0.07294680439962697, 'joy': 0.03898438448211953}","{'negative': 0.617047435756426, 'positive': 0.38295256424357405}"
1379924,MxPx,One Step Further,sadness,negative,"{'anger': 0.14266255036645245, 'anticipation': 0.21502815454666038, 'joy': 0.08820455020821788, 'trust': 0.08820455020821788, 'fear': 0.18884782223111676, 'sadness': 0.27705237243933467}","{'negative': 0.6699002745577309, 'positive': 0.33009972544226907}"
3265638,Slxde,Again feat. IX,surprise,positive,"{'joy': 0.18434952049516182, 'anger': 0.15414106324692198, 'surprise': 0.22363960164586014, 'fear': 0.09717264962498304, 'sadness': 0.031957257139933824, 'anticipation': 0.09561469766662545, 'trust': 0.2062135568832049, 'disgust': 0.0069116532973088375}","{'positive': 0.6742090232750015, 'negative': 0.32579097672499846}"
778740,The New Amsterdams,Drunk or Dead,fear,negative,"{'anticipation': 0.10490814961266842, 'fear': 0.22354730896715425, 'sadness': 0.14521019826402431, 'joy': 0.08235612248410586, 'surprise': 0.08431871487547728, 'trust': 0.0999876950930358, 'anger': 0.1793904957014122, 'disgust': 0.080281315002122}","{'negative': 0.7289115326624152, 'positive': 0.27108846733758474}"
6846219,TeeThaGod,I’m The Realist,trust,negative,"{'joy': 0.07281669203373509, 'surprise': 0.14490328447406473, 'anticipation': 0.10506219915498817, 'trust': 0.20932415816722705, 'sadness': 0.18841181813573746, 'anger': 0.12004401091560067, 'disgust': 0.05346172981758, 'fear': 0.10597610730106685}","{'positive': 0.3219859449039005, 'negative': 0.6780140550960995}"
137288,Wild Belle,Love like This,joy,positive,"{'fear': 0.075385038807899, 'joy': 0.6788024036720683, 'surprise': 0.08412592941433228, 'sadness': 0.00836844703015744, 'trust': 0.09397680877970518, 'anticipation': 0.05934137229583778}","{'positive': 0.8974095420213447, 'negative': 0.1025904579786553}"
